Country,City,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,Latitude,Longitude,cluster
Indonesia,Cirebon,71.0,2.0,51.25,0.0,71,-6.7137044,108.5608483,1
Malaysia,Kuala Perlis,67.0,2.0,51.25,0.0,67,6.4032926,100.1345543,1
Indonesia,Purworejo,92.0,2.0,42.0,2.0,92,-7.7073021,109.96651169154023,1
Indonesia,Labuhan,136.25,3.0,51.25,1.0,135,-7.222456,113.0783934,1
Malaysia,Beaufort,63.0,3.5,36.0,0.0,63,5.3470611,115.7430094,1
Indonesia,Sooko,136.25,2.0,51.25,1.0,135,-7.48946,112.4251891,1
Indonesia,Ciparay,91.0,2.0,51.25,1.0,91,-7.2696909,106.6187283,1
Malaysia,Shah Alam,78.0,2.0,43.0,2.0,78,3.0739429,101.5185278,1
Indonesia,Weleri,81.0,2.0,51.25,0.0,81,-6.970644,110.0697728,1
Indonesia,Wonosobo,81.0,2.0,48.0,0.0,81,-7.39979995,109.92096446847731,1
Indonesia,Pacet,98.0,2.0,51.25,1.0,98,-7.6665791,112.5371895,1
Indonesia,Kemang,95.0,2.0,51.25,1.0,95,-3.3949445000000003,104.36153695374253,1
Thailand,Songkhla,54.0,2.0,41.0,0.0,54,6.8790221,100.5498542,1
Indonesia,Pare,78.0,1.0,43.0,0.0,78,-7.7688607,112.1964706,1
Indonesia,Pemalang,100.0,2.0,51.0,1.0,100,-7.0110802,109.39140368595727,1
Indonesia,Ciranjang,109.0,2.0,51.25,1.0,109,-6.7864594,107.2832236,1
Indonesia,Mendahara,76.0,2.0,37.0,0.0,76,-0.9556509,103.6797702,1
Indonesia,Cileungsi,136.25,3.0,51.25,2.0,135,-6.3982206,106.98189239498828,1
Indonesia,Subang,88.0,2.0,51.25,1.0,88,-6.49838875,107.73954601355435,1
Indonesia,Pangkah,91.0,2.0,46.0,1.0,91,-6.979205,109.1675685,1
Indonesia,Surakarta,69.0,1.0,41.0,1.0,69,-7.5692489,110.828448,1
Indonesia,Gatak,79.0,2.0,45.0,1.0,79,-7.5909215,110.7449837,1
Malaysia,Lumut,58.0,1.0,44.0,1.0,58,4.2246469,100.6211525,1
Indonesia,Tanjung Morawa,72.0,2.0,42.0,0.0,72,3.5173404,98.7926727,1
Indonesia,Kaliwungu,113.0,3.0,51.25,2.0,113,-7.4617145,110.6147021,1
Indonesia,Taman,124.0,1.0,39.0,1.0,124,-7.3631369,112.67566204382938,1
Malaysia,Pantai Remis,61.0,1.0,51.25,1.0,61,4.455272,100.626025,1
Indonesia,Pasuruan,99.0,1.0,43.0,1.0,99,-7.6399593,112.9070632,1
Indonesia,Plered,116.0,3.0,51.25,1.0,112,-6.6409293,107.3913078,1
Indonesia,Sidoarjo,136.25,2.0,51.25,2.0,135,-7.45597405,112.66088771295344,1
Malaysia,Ulu Tiram,136.25,1.0,48.0,2.5,135,1.5993646,103.820877,1
Malaysia,Tumpat,68.0,2.0,38.0,0.0,68,6.176396,102.1663281,1
Indonesia,Gempol,136.25,2.0,51.25,1.0,135,-7.5794398,112.6904154,1
Philippines,Taloc,67.0,2.0,32.0,2.0,67,10.5871853,122.9093178,1
Malaysia,Mentakab,88.0,1.0,41.0,0.0,88,3.486451,102.3514872,1
Indonesia,Majenang,62.0,1.0,41.0,1.0,62,-7.2987025,108.7625912,1
Indonesia,Cikampek,116.0,3.0,51.25,1.0,93,-6.4064976,107.4588164,1
Malaysia,Bukit Rambai,77.0,2.0,35.0,0.0,77,2.6446921,102.1817189,1
Indonesia,Baturaja,68.0,2.0,38.0,0.0,68,-4.1270552,104.1619482,1
Malaysia,Batang Berjuntai,97.0,2.0,51.25,1.0,97,3.378008,101.4102245,1
Indonesia,Surabaya,136.25,1.0,45.0,1.0,135,-7.2459717,112.7378266,1
Malaysia,Nibong Tebal,66.0,1.0,47.0,0.0,66,5.1700963,100.4785191,1
Indonesia,Bogor,136.25,3.5,51.25,2.0,135,-6.5962986,106.7972421,1
Indonesia,Blora,81.0,2.0,51.25,1.0,81,-6.5358729,110.9290999,1
Indonesia,Banjar,75.0,1.0,46.0,0.0,75,-3.3247398500000003,114.59750526571096,1
Indonesia,Balapulang,78.0,2.0,51.25,1.0,78,-7.0498077,109.0978378,1
